,timestamp,text,label,filename,clusters,p-0-0,p-0-1,p-1-0,p-1-1,p-2-0,p-3-0,p-4-0,p-4-1,p-5-0,p-5-1,p-6-0,p-6-1,p-6-2,p-7-0,p-7-1,p-7-2,p-8-0,p-8-1,p-9-0,p-9-1,p-9-2,p-10-0,p-10-1,p-11-0,p-12-0,p-12-1,p-13-0,p-13-1,p-14-0,p-14-1,p-15-0,p-15-1,p-16-0,p-16-1,p-16-2,p-17-0,p-17-1,p-18-0,p-18-1,p-18-2,p-19-0,p-19-1,p-19-2,p-20-0,p-20-1,p-20-2,p-21-0,p-22-0,p-22-1,p-23-0,p-23-1,p-24-0,p-25-0,p-26-0,p-26-1,p-27-0,p-27-1,p-28-0,p-28-1,p-28-2,p-29-0,p-29-1,p-29-2,p-30-0,p-30-1,p-30-2,p-31-0,p-31-1,p-31-2,p-32-0,p-32-1,p-32-2,p-33-0,p-34-0,p-34-1,p-35-0,p-35-1,p-36-0,p-36-1,p-37-0,p-37-1,p-37-2,p-38-0,p-38-1,p-38-2,p-39-0,p-39-1,p-39-2,p-40-0,p-41-0,p-41-1,p-41-2,p-42-0,p-42-1,p-42-2,p-43-0,p-43-1,p-44-0,p-44-1,p-44-2,p-45-0,p-45-1,p-45-2,p-46-0,p-46-1,p-46-2,p-47-0,p-47-1,p-47-2,p-48-0,p-48-1,p-49-0,p-49-1,p-49-2,p-50-0,p-51-0,p-51-1,p-52-0,p-53-0,p-53-1,p-54-0,p-55-0,p-55-1,p-56-0,p-56-1,p-56-2,p-57-0,p-57-1,p-57-2,p-58-0,p-58-1,p-58-2,p-59-0,p-59-1,p-60-0,p-60-1,p-60-2,p-61-0,p-62-0,p-62-1,p-63-0,p-64-0,p-65-0,p-65-1,p-66-0,p-67-0,p-68-0,p-69-0,p-69-1,p-70-0,p-71-0,p-72-0,p-72-1,p-73-0,p-73-1,p-73-2,p-74-0,p-74-1,p-75-0,p-75-1,p-76-0,p-77-0,p-77-1,p-78-0,p-79-0,p-79-1,p-80-0,p-80-1,p-81-0,p-81-1,p-82-0,p-82-1,p-83-0,p-83-1,p-83-2,p-84-0,p-85-0,p-85-1,p-85-2,p-86-0,p-86-1,p-87-0,p-87-1,p-88-0,p-89-0,p-89-1,p-89-2,p-90-0,p-90-1,p-90-2,p-91-0,p-92-0,p-92-1,p-93-0,p-93-1,p-94-0,p-94-1,p-95-0,p-96-0,p-96-1,p-97-0,p-97-1,p-98-0,p-98-1,p-99-0,p-99-1
0,1131674817000,ib_sm.x[24904]: [ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,FALSE,src@tbird-sm1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1131674819000,Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0,FALSE,bn181/bn181,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1131674821000,Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0,FALSE,bn163/bn163,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1131674821000,ib_sm.x[24904]: [ib_sm_sweep.c:1455]: No topology change,FALSE,src@tbird-sm1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1131674821000,ib_sm.x[24904]: [ib_sm_sweep.c:1482]: No configuration change required,FALSE,src@tbird-sm1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1131674822000,Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0,FALSE,an245/an245,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1131674822000,snmpd[1991]: Got trap from peer on fd 13,FALSE,an245/an245,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1131674823000,snmpd[1990]: Got trap from peer on fd 13,FALSE,bn164/bn164,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1131674823000,Server Administrator: Instrumentation Service EventID: 1052 Temperature sensor returned to a normal value Sensor location: BMC Ambient Temp Chassis location: Main System Chassis Previous state was: Non-Critical (Warning) Temperature sensor value (in Degrees Celsius): 11.0,FALSE,bn164/bn164,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1131674823000,snmpd[1991]: Got trap from peer on fd 13,FALSE,an72/an72,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
