Unnamed: 0,timestamp,text,label,filename,clusters,tfidf_text,p-3-0,p-7-0,p-9-0,p-9-1,p-9-2,p-10-0,p-13-0,p-13-1,p-14-0,p-14-1,p-14-2,p-14-3,p-15-0,p-15-1,p-15-2,p-15-3,p-15-4,p-15-5,p-15-6,p-15-7,p-15-8,p-15-9,p-15-10,p-15-11,p-15-12,p-15-13,p-15-14,p-15-15,p-15-16,p-15-17,p-16-0,p-16-1,p-16-2,p-16-3,p-16-4,p-16-5,p-18-0,p-18-1,p-19-0,p-19-1,p-19-2,p-19-3,p-19-4,p-19-5,p-19-6,p-19-7,p-24-0,p-28-0,p-30-0,p-32-0,p-36-0,p-36-1,p-36-2,p-36-3,p-36-4,p-37-0,cluster2
24810,1120145410070.142,RAS KERNEL INFO generating core.12249,False,R23-M1-N5-C:J11-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
30899,1120404173213.875,"RAS KERNEL INFO CE sym 19, at 0x0c9b8e40, mask 0x80",False,R21-M0-N9-C:J06-U11,13,"RAS KERNEL INFO CE sym , at , mask ",,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
41068,1121006619695.516,RAS KERNEL INFO generating core.290,False,R36-M0-NF-C:J09-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
47208,1121308604501.209,RAS KERNEL INFO generating core.6318,False,R25-M1-NA-C:J09-U01,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
16951,1118772751675.513,RAS KERNEL FATAL floating point instr. enabled.....1,False,R20-M0-N3-C:J07-U01,23,RAS KERNEL FATAL floating point instr. enabled.....1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
64566,1123110645402.939,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",False,,5,"RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
9431,1118709996568.268,RAS KERNEL FATAL instruction address: 0x00004ed8,False,R12-M1-NB-C:J07-U01,17,RAS KERNEL FATAL instruction address: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
82850,1131128075440.358,RAS KERNEL INFO iar 00106208 dear 0245a0ac,False,R62-M0-N5-C:J11-U11,19,RAS KERNEL INFO iar  dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106208.0,,,,,,,,,,,,,,,,,,7
66092,1125084504010.4548,RAS KERNEL INFO iar 003a9260 dear 00ef5d48,False,R75-M1-NB-C:J17-U01,7,RAS KERNEL INFO iar 003a9260 dear ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78681,1131064230925.23,RAS KERNEL INFO 2354412 floating point alignment exceptions,False,R25-M1-N7-C:J02-U11,37,RAS KERNEL INFO  floating point alignment exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354412.0,3
11524,1118768184379.944,RAS KERNEL FATAL data storage interrupt,True,R05-M1-N0-C:J17-U01,27,RAS KERNEL FATAL data storage interrupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
37578,1120934646050.985,RAS KERNEL INFO generating core.8687,False,R15-M1-N6-C:J05-U11,0,RAS KERNEL INFO generating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
