date,num_logs,num_anomalies
2005-11-09-08,36,0
2005-11-09-09,58,0
2005-11-09-10,17,0
2005-11-09-11,10,0
2005-11-09-12,6,0
2005-11-09-13,9,0
2005-11-09-14,4,0
2005-11-09-19,4610,0
2005-11-09-20,9133,0
2005-11-09-21,6109,0
2005-11-09-22,20746,0
2005-11-09-23,19367,0
2005-11-10-00,7441,0
2005-11-10-01,7988,0
2005-11-10-02,6609,0
2005-11-10-03,6061,0
2005-11-10-04,6616,0
2005-11-10-05,6186,0
2005-11-10-06,5819,0
2005-11-10-07,6018,0
2005-11-10-08,8945,0
2005-11-10-09,7393,0
2005-11-10-10,7467,0
2005-11-10-11,7923,0
2005-11-10-12,8730,0
2005-11-10-13,7134,0
2005-11-10-14,6476,0
2005-11-10-15,6554,0
2005-11-10-16,6146,0
2005-11-10-17,7565,0
2005-11-10-18,7396,0
2005-11-10-19,11423,0
2005-11-10-20,8281,0
2005-11-10-21,30525,0
2005-11-10-22,13651,0
2005-11-10-23,9771,0
2005-11-11-00,38179,0
2005-11-11-01,570197,0
2005-11-11-02,7349,1
2005-11-11-03,25307,0
2005-11-11-04,148480,0
2005-11-11-05,145738,1042
2005-11-11-06,102800,77
2005-11-11-07,114409,0
2005-11-11-08,28001,0
2005-11-11-09,6793,0
2005-11-11-10,5488,0
2005-11-11-11,5723,0
2005-11-11-12,6440,0
2005-11-11-13,5755,0
2005-11-11-14,5803,0
2005-11-11-15,6334,0
2005-11-11-16,6390,0
2005-11-11-17,13781,0
2005-11-11-18,24729,385
2005-11-11-19,12897,1320
2005-11-11-20,11442,1351
2005-11-11-21,20201,1356
2005-11-11-22,247926,1056
2005-11-11-23,63413,0
2005-11-12-00,75923,2
2005-11-12-01,55596,0
2005-11-12-02,12501,148
2005-11-12-03,13005,319
2005-11-12-04,15357,0
2005-11-12-05,17164,2
2005-11-12-06,16101,0
2005-11-12-07,14935,0
2005-11-12-08,15896,0
2005-11-12-09,15407,1
2005-11-12-10,14557,0
2005-11-12-11,13517,0
2005-11-12-12,18063,602
2005-11-12-13,19944,1438
2005-11-12-14,21412,1440
2005-11-12-15,21899,1447
2005-11-12-16,21287,1469
2005-11-12-17,15345,1438
2005-11-12-18,15103,1437
2005-11-12-19,19068,289
2005-11-12-20,8525,0
2005-11-12-21,9206,0
2005-11-12-22,8001,0
2005-11-12-23,7225,0
2005-11-13-00,7666,0
2005-11-13-01,7790,0
2005-11-13-02,8855,1
2005-11-13-03,8591,0
2005-11-13-04,9932,0
2005-11-13-05,10488,0
2005-11-13-06,12876,0
2005-11-13-07,13561,0
2005-11-13-08,15001,0
2005-11-13-09,15557,0
2005-11-13-10,15170,0
2005-11-13-11,14432,0
2005-11-13-12,14776,0
2005-11-13-13,15105,391
2005-11-13-14,18282,1428
2005-11-13-15,19642,1800
2005-11-13-16,19535,3036
2005-11-13-17,18031,3036
2005-11-13-18,19440,2976
2005-11-13-19,21915,2892
2005-11-13-20,22286,2976
2005-11-13-21,22780,4423
2005-11-13-22,23117,4482
2005-11-13-23,23968,4482
2005-11-14-00,23789,4535
2005-11-14-01,24628,4526
2005-11-14-02,25093,4546
2005-11-14-03,26208,4536
2005-11-14-04,27181,4518
2005-11-14-05,26706,4554
2005-11-14-06,26457,4464
2005-11-14-07,26292,4356
2005-11-14-08,26559,4446
2005-11-14-09,26710,4463
2005-11-14-10,26542,4446
2005-11-14-11,27479,4500
2005-11-14-12,27737,4518
2005-11-14-13,27602,4536
2005-11-14-14,28751,4522
2005-11-14-15,29124,4550
2005-11-14-16,30324,4554
2005-11-14-17,29267,4572
2005-11-14-18,23379,2629
2005-11-14-19,12376,0
2005-11-14-20,27655,0
2005-11-14-21,20073,0
2005-11-14-22,16172,0
2005-11-14-23,10632,0
2005-11-15-00,10612,0
2005-11-15-01,11762,0
2005-11-15-02,12221,0
2005-11-15-03,12041,0
2005-11-15-04,12940,0
2005-11-15-05,12242,0
2005-11-15-06,12665,0
2005-11-15-07,12170,0
2005-11-15-08,13077,0
2005-11-15-09,12567,0
2005-11-15-10,12973,0
2005-11-15-11,12317,0
2005-11-15-12,14119,0
2005-11-15-13,14556,0
2005-11-15-14,21769,1267
2005-11-15-15,22925,1416
2005-11-15-16,19100,1416
2005-11-15-17,18736,1421
2005-11-15-18,69826,1401
2005-11-15-19,18316,1403
2005-11-15-20,17165,1398
2005-11-15-21,27901,1386
2005-11-15-22,34120,1390
2005-11-15-23,16764,1398
2005-11-16-00,16640,1380
2005-11-16-01,17550,1404
2005-11-16-02,18297,1410
2005-11-16-03,18369,1404
2005-11-16-04,19085,1416
2005-11-16-05,19058,1410
2005-11-16-06,18612,1410
2005-11-16-07,19153,1380
2005-11-16-08,18565,1350
2005-11-16-09,19210,1350
2005-11-16-10,18904,1356
2005-11-16-11,18985,1350
2005-11-16-12,20856,1386
2005-11-16-13,21093,1416
2005-11-16-14,21590,1434
2005-11-16-15,21607,1436
2005-11-16-16,21235,1432
2005-11-16-17,20265,1428
2005-11-16-18,28487,1416
2005-11-16-19,20221,1404
2005-11-16-20,21026,1404
2005-11-16-21,30456,1416
2005-11-16-22,22189,1434
2005-11-16-23,22262,1404
2005-11-17-00,22691,1410
2005-11-17-01,23467,1422
2005-11-17-02,23877,1422
2005-11-17-03,23987,1416
2005-11-17-04,24313,1428
2005-11-17-05,23576,1416
2005-11-17-06,23748,1434
2005-11-17-07,23737,1434
2005-11-17-08,23190,1428
2005-11-17-09,23148,1434
2005-11-17-10,22922,1416
2005-11-17-11,22538,1416
2005-11-17-12,24639,1398
2005-11-17-13,25021,1392
2005-11-17-14,24892,1385
2005-11-17-15,25299,1411
2005-11-17-16,24329,1416
2005-11-17-17,24268,1422
2005-11-17-18,51021,1317
2005-11-17-19,31978,1349
2005-11-17-20,17735,1350
2005-11-17-21,21782,1335
2005-11-17-22,15191,1346
2005-11-17-23,16032,1350
2005-11-18-00,14177,1350
2005-11-18-01,14782,1296
2005-11-18-02,15330,1290
2005-11-18-03,15767,1296
2005-11-18-04,17602,1398
2005-11-18-05,16800,1446
2005-11-18-06,16795,1475
2005-11-18-07,16791,1463
2005-11-18-08,16635,1458
2005-11-18-09,17498,1452
2005-11-18-10,16711,1458
2005-11-18-11,16839,1446
2005-11-18-12,17476,1458
2005-11-18-13,18470,1440
2005-11-18-14,19506,1446
2005-11-18-15,19587,1452
2005-11-18-16,22627,1320
2005-11-18-17,15802,1344
2005-11-18-18,24142,1343
2005-11-18-19,48440,1350
2005-11-18-20,15634,1350
2005-11-18-21,25282,1109
2005-11-18-22,18724,1340
2005-11-18-23,15886,1338
2005-11-19-00,18240,1348
2005-11-19-01,17747,1349
2005-11-19-02,15992,1349
2005-11-19-03,16895,1350
2005-11-19-04,19646,1350
2005-11-19-05,18388,1363
2005-11-19-06,15496,1349
2005-11-19-07,17074,1348
2005-11-19-08,17367,1347
2005-11-19-09,16578,1350
2005-11-19-10,16404,1350
2005-11-19-11,16757,1343
2005-11-19-12,17359,1338
2005-11-19-13,18224,1333
2005-11-19-14,17227,1349
2005-11-19-15,16863,1350
2005-11-19-16,16920,1350
2005-11-19-17,15179,1350
2005-11-19-18,22876,1405
2005-11-19-19,15911,1500
2005-11-19-20,15926,1481
2005-11-19-21,23438,1494
2005-11-19-22,16064,1499
2005-11-19-23,15760,1465
2005-11-20-00,17018,1446
2005-11-20-01,17039,1440
2005-11-20-02,17446,1446
2005-11-20-03,17349,1446
2005-11-20-04,17328,1446
2005-11-20-05,17309,1452
2005-11-20-06,16973,1428
2005-11-20-07,17127,1443
2005-11-20-08,17529,1449
2005-11-20-09,18540,1440
2005-11-20-10,18518,1440
2005-11-20-11,18624,1440
2005-11-20-12,20367,1440
2005-11-20-13,20133,1440
2005-11-20-14,20586,1440
2005-11-20-15,20303,1440
2005-11-20-16,20319,1440
2005-11-20-17,19005,1440
2005-11-20-18,28194,1440
2005-11-20-19,19813,1440
2005-11-20-20,19361,1440
2005-11-20-21,25992,1440
2005-11-20-22,18397,1440
2005-11-20-23,20221,1440
2005-11-21-00,18220,1424
2005-11-21-01,19188,1438
2005-11-21-02,20172,1428
2005-11-21-03,19345,1440
2005-11-21-04,20877,1440
2005-11-21-05,20411,1448
2005-11-21-06,20557,1440
2005-11-21-07,19583,1434
2005-11-21-08,20259,1439
2005-11-21-09,20299,1440
2005-11-21-10,20031,1439
2005-11-21-11,20294,1435
2005-11-21-12,21321,1438
2005-11-21-13,21497,1436
